title,genres,director,cast,keywords,description,movieId,release_year
The Last Galaxies II,Adventure|Fantasy,George Lucas,"Elijah Wood, Johnny Depp, Sam Neill","treasure hunt, wilderness, survival, journey","In this mysterious tale, a main protagonist confronts a digital virtual world that threatens to change everything they know.",551,1984
Diary of a Dreamer,Drama,Francis Ford Coppola,"Kate Winslet, Tim Robbins, Joaquin Phoenix","ambition, betrayal, friendship, family struggle","In this dangerous tale, a main protagonist navigates a forbidden romance that threatens to change everything they know.",552,1983
Tales of Symphony II,Fantasy|Adventure,Guillermo del Toro,"Emma Watson, Johnny Depp, Viggo Mortensen","prophecy, dark lord, wizards, dragons","In this unforgettable tale, a main protagonist discovers a forbidden romance that threatens to change everything they know.",553,1975
Diary of a Destiny,Drama,Frank Darabont,"Kate Winslet, Robert De Niro, Brad Pitt","hope, ambition, betrayal, mental illness","In this haunting tale, a main protagonist uncovers a post-apocalyptic wasteland that threatens to change everything they know.",554,1986
High School Night II,Horror|Romance,Jordan Peele,"Florence Pugh, Jamie Lee Curtis, Vera Farmiga","monster, haunted house, curse, possession","In this spectacular tale, a main protagonist confronts a digital virtual world that threatens to change everything they know.",555,1986
Shadow of the Deep Sea II,Thriller|Horror,David Fincher,"Brad Pitt, Jodie Foster, Ben Affleck","hostage, corruption, serial killer, conspiracy","In this unforgettable tale, a main protagonist investigates their deepest fears that threatens to change everything they know.",556,1977
The Wilderness Escape II,Action,Michael Bay,"Hugh Jackman, Charlize Theron, Chris Hemsworth","revenge, heist, martial arts, explosion","In this breathtaking tale, a main protagonist uncovers a deadly conspiracy that threatens to change everything they know.",557,2023
Chronicles of Dimension,Adventure|Fantasy|Sci-Fi,Steven Spielberg,"Sam Neill, Tom Hanks, Harrison Ford","wilderness, survival, island, treasure hunt","In this gripping tale, a main protagonist travels to a hidden empire that threatens to change everything they know.",558,1989
Love in Destiny II,Romance,Rob Reiner,"Ethan Hawke, Hugh Grant, Julie Delpy","secret crush, love story, star-crossed lovers, forbidden love","In this spectacular tale, a main protagonist investigates a deadly conspiracy that threatens to change everything they know.",559,2004
The Last AI II,Adventure|Fantasy|Comedy,Steven Spielberg,"Tom Hanks, Elijah Wood, Harrison Ford","treasure hunt, journey, survival, island","In this mysterious tale, a main protagonist investigates a mysterious artifact that threatens to change everything they know.",560,1983
Whispers of the Shadows II,Thriller|Action|Fantasy,Alfred Hitchcock,"Leonardo DiCaprio, Morgan Freeman, Edward Norton","corruption, psychological, conspiracy, ticking clock","In this dangerous tale, a main protagonist falls in love with a forbidden romance that threatens to change everything they know.",561,2019
Return of the Dreamer II,Fantasy|Horror,Chris Columbus,"Elijah Wood, Daniel Radcliffe, Orlando Bloom","magic, dark lord, wizards, alternate realm","In this breathtaking tale, a main protagonist battles a forbidden romance that threatens to change everything they know.",562,2007
The Wilderness Heist II,Action|Adventure|Thriller,Michael Bay,"Tom Cruise, Hugh Jackman, Scarlett Johansson","explosion, superhero, car chase, heist","In this gripping tale, a main protagonist confronts a secret agent that threatens to change everything they know.",563,2015
Love in Wilderness II,Romance|Drama|Horror,Richard Linklater,"Kate Winslet, Leonardo DiCaprio, Julia Roberts","forbidden love, second chance, destiny, love story","In this spectacular tale, a main protagonist confronts a deadly conspiracy that threatens to change everything they know.",564,1984
Dimension Night II,Horror|Adventure|Mystery,Wes Craven,"Florence Pugh, Ethan Hawke, Toni Collette","curse, monster, haunted house, survival horror","In this breathtaking tale, a main protagonist discovers a hidden empire that threatens to change everything they know.",565,1980
The Deep Sea Escape II,Action|Sci-Fi|Adventure,Christopher Nolan,"Tom Cruise, Charlize Theron, Robert Downey Jr.","explosion, rescue, heist, revenge","In this dangerous tale, a main protagonist falls in love with a hidden empire that threatens to change everything they know.",566,1995
The High School Syndicate II,Crime|Mystery,Independent Director,"Actor Alpha, Actor Beta","movie, story","In this haunting tale, a main protagonist travels to a deadly conspiracy that threatens to change everything they know.",567,1998
Return of the Revenge,Fantasy,David Yates,"Ian McKellen, Orlando Bloom, Daniel Radcliffe","dark lord, magic, wizards, mythology","In this breathtaking tale, a main protagonist discovers a forbidden romance that threatens to change everything they know.",568,1985
Chasing High School II,Comedy,Todd Phillips,"Jim Carrey, Emma Stone, Will Ferrell","high school, satire, buddy road trip, parody","In this breathtaking tale, a main protagonist uncovers a deadly conspiracy that threatens to change everything they know.",569,2002
The Cyborg Escape II,Action|Horror,Michael Bay,"Keanu Reeves, Scarlett Johansson, Christian Bale","car chase, fight, heist, superhero","In this haunting tale, a main protagonist navigates a digital virtual world that threatens to change everything they know.",570,1986
The Time Escape II,Action,John Woo,"Scarlett Johansson, Hugh Jackman, Chris Hemsworth","fight, rescue, revenge, martial arts","In this futuristic tale, a main protagonist uncovers a forbidden romance that threatens to change everything they know.",571,1980
Diary of a Artifact II,Drama,David Fincher,"Tim Robbins, Al Pacino, Joaquin Phoenix","friendship, betrayal, tragedy, mental illness","In this dangerous tale, a main protagonist falls in love with a post-apocalyptic wasteland that threatens to change everything they know.",572,2002
The Empire Syndicate II,Crime,Independent Director,"Actor Alpha, Actor Beta","movie, story","In this futuristic tale, a main protagonist discovers a secret agent that threatens to change everything they know.",573,1997
Whispers of the Dreamer II,Thriller|Fantasy,Alfred Hitchcock,"Edward Norton, Christian Bale, Morgan Freeman","conspiracy, ticking clock, corruption, hostage","In this futuristic tale, a main protagonist navigates a secret agent that threatens to change everything they know.",574,2012
The High School Project II,Sci-Fi,Ridley Scott,"Sandra Bullock, Carrie Fisher, Matthew McConaughey","space travel, time travel, future, simulation","In this mysterious tale, a main protagonist confronts a post-apocalyptic wasteland that threatens to change everything they know.",575,2019
Chasing Dreamer,Comedy|Adventure,Edgar Wright,"Emma Stone, Ryan Reynolds, Will Ferrell","parody, slapstick, coming of age, high school","In this unforgettable tale, a main protagonist travels to their deepest fears that threatens to change everything they know.",576,2002
The Time Syndicate,Crime|Romance|Action,Independent Director,"Actor Alpha, Actor Beta","story, movie","In this futuristic tale, a main protagonist discovers a digital virtual world that threatens to change everything they know.",577,1976
Curse of the Empire II,Horror|Action|Thriller,Jordan Peele,"Ethan Hawke, Toni Collette, Vera Farmiga","haunted house, curse, zombie, ghost","In this mysterious tale, a main protagonist discovers a forbidden romance that threatens to change everything they know.",578,2015
Whispers of the Paris II,Thriller|Romance|Fantasy,David Fincher,"Leonardo DiCaprio, Jake Gyllenhaal, Jodie Foster","psychological, serial killer, corruption, conspiracy","In this futuristic tale, a main protagonist confronts their deepest fears that threatens to change everything they know.",579,1990
The Deep Sea Project II,Sci-Fi|Fantasy,Denis Villeneuve,"Sandra Bullock, Ryan Gosling, Zoe Saldana","time travel, dystopia, artificial intelligence, space travel","In this mysterious tale, a main protagonist navigates a mysterious artifact that threatens to change everything they know.",580,1997
Love in High School II,Romance|Adventure|Fantasy,James Cameron,"Hugh Grant, Rachel McAdams, Ethan Hawke","relationship, second chance, destiny, love story","In this mysterious tale, a main protagonist travels to a post-apocalyptic wasteland that threatens to change everything they know.",581,1977
Shadow of the High School II,Thriller,Alfred Hitchcock,"Morgan Freeman, Christian Bale, Ben Affleck","psychological, serial killer, ticking clock, kidnapping","In this futuristic tale, a main protagonist navigates a post-apocalyptic wasteland that threatens to change everything they know.",582,1978
The Galaxies Syndicate,Crime|Thriller,Independent Director,"Actor Alpha, Actor Beta","story, movie","In this futuristic tale, a main protagonist confronts a forbidden romance that threatens to change everything they know.",583,2013
Curse of the Dimension II,Horror|Fantasy,Ari Aster,"Ethan Hawke, Toni Collette, Patrick Wilson","zombie, monster, curse, possession","In this haunting tale, a main protagonist travels to a mysterious artifact that threatens to change everything they know.",584,2008
Beyond the Dimension II,Sci-Fi|Thriller|Horror,Denis Villeneuve,"Keanu Reeves, Matt Damon, Zoe Saldana","future, simulation, alien, cyborg","In this futuristic tale, a main protagonist escapes from a mysterious artifact that threatens to change everything they know.",585,2001
Curse of the Love II,Horror,Jordan Peele,"Patrick Wilson, Florence Pugh, Vera Farmiga","haunted house, monster, zombie, ghost","In this haunting tale, a main protagonist travels to a secret agent that threatens to change everything they know.",586,1983
Diary of a Haunting II,Drama|Comedy,Francis Ford Coppola,"Matthew McConaughey, Al Pacino, Kate Winslet","friendship, hope, betrayal, ambition","In this mysterious tale, a main protagonist discovers a forbidden romance that threatens to change everything they know.",587,2010
The Wilderness Equation II,Sci-Fi|Horror,James Cameron,"Carrie Fisher, Matthew McConaughey, Ryan Gosling","artificial intelligence, simulation, dystopia, cyborg","In this unforgettable tale, a main protagonist uncovers a deadly conspiracy that threatens to change everything they know.",588,2009
The Cyborg Project,Sci-Fi|Romance|Comedy,Denis Villeneuve,"Mark Hamill, Keanu Reeves, Matthew McConaughey","dystopia, space travel, simulation, cyborg","In this unforgettable tale, a main protagonist battles a forbidden romance that threatens to change everything they know.",589,1999
Return of the Destiny II,Fantasy|Action,Peter Jackson,"Ian McKellen, Johnny Depp, Elijah Wood","alternate realm, dragons, wizards, elves","In this haunting tale, a main protagonist uncovers their deepest fears that threatens to change everything they know.",590,1990
Curse of the High School II,Horror|Fantasy|Mystery,Wes Craven,"Jamie Lee Curtis, Florence Pugh, Ethan Hawke","zombie, haunted house, slasher, curse","In this breathtaking tale, a main protagonist battles a mysterious artifact that threatens to change everything they know.",591,1998
The Galaxies Escape,Action,Christopher Nolan,"Christian Bale, Tom Cruise, Scarlett Johansson","rescue, explosion, revenge, superhero","In this gripping tale, a main protagonist discovers a digital virtual world that threatens to change everything they know.",592,1988
Secrets of the Algorithm II,Mystery,David Fincher,"Daniel Craig, Robert Downey Jr., Jake Gyllenhaal","murder mystery, detective, conspiracy, secret identity","In this spectacular tale, a main protagonist confronts a mysterious artifact that threatens to change everything they know.",593,2008
Tales of High School,Fantasy,Guillermo del Toro,"Johnny Depp, Orlando Bloom, Viggo Mortensen","elves, dark lord, dragons, prophecy","In this breathtaking tale, a main protagonist discovers their deepest fears that threatens to change everything they know.",594,1995
The Galaxies Escape II,Action,George Miller,"Hugh Jackman, Tom Cruise, Charlize Theron","superhero, martial arts, fight, revenge","In this breathtaking tale, a main protagonist escapes from a digital virtual world that threatens to change everything they know.",595,2001
Return of the Galaxies II,Fantasy|Mystery,Chris Columbus,"Emma Watson, Viggo Mortensen, Daniel Radcliffe","alternate realm, mythology, prophecy, magic","In this unforgettable tale, a main protagonist travels to their deepest fears that threatens to change everything they know.",596,1992
Shadow of the Galaxies II,Thriller|Mystery|Romance,Denis Villeneuve,"Leonardo DiCaprio, Christian Bale, Brad Pitt","conspiracy, serial killer, hostage, psychological","In this gripping tale, a main protagonist investigates a post-apocalyptic wasteland that threatens to change everything they know.",597,2006
Shadow of the Shadows II,Thriller,Martin Scorsese,"Jake Gyllenhaal, Morgan Freeman, Ben Affleck","kidnapping, conspiracy, psychological, serial killer","In this dangerous tale, a main protagonist escapes from a post-apocalyptic wasteland that threatens to change everything they know.",598,2014
The Algorithm Syndicate II,Crime|Fantasy,Independent Director,"Actor Beta, Actor Alpha","movie, story","In this spectacular tale, a main protagonist uncovers a secret agent that threatens to change everything they know.",599,1976
The Wilderness Equation II,Sci-Fi|Comedy,Christopher Nolan,"Keanu Reeves, Matt Damon, Matthew McConaughey","artificial intelligence, dystopia, space travel, alien","In this gripping tale, a main protagonist escapes from a post-apocalyptic wasteland that threatens to change everything they know.",600,2018
Diary of a Love,Drama,Francis Ford Coppola,"Joaquin Phoenix, Robert De Niro, Tim Robbins","ambition, family struggle, mental illness, betrayal","In this dangerous tale, a main protagonist navigates a post-apocalyptic wasteland that threatens to change everything they know.",601,1988
The Empire Project II,Sci-Fi|Romance|Mystery,Lana Wachowski,"Sigourney Weaver, Matt Damon, Matthew McConaughey","cyborg, future, artificial intelligence, alien","In this unforgettable tale, a main protagonist falls in love with their deepest fears that threatens to change everything they know.",602,2001
Cyborg Night II,Horror|Thriller,Jordan Peele,"Florence Pugh, Vera Farmiga, Toni Collette","zombie, curse, ghost, possession","In this dangerous tale, a main protagonist escapes from a forbidden romance that threatens to change everything they know.",603,1986
Chasing Algorithm II,Comedy|Mystery|Adventure,Judd Apatow,"Jonah Hill, Steve Carell, Will Ferrell","coming of age, parody, slapstick, misunderstanding","In this spectacular tale, a main protagonist battles a deadly conspiracy that threatens to change everything they know.",604,2007
Curse of the Symphony,Horror|Fantasy,Wes Craven,"Ethan Hawke, Toni Collette, Vera Farmiga","haunted house, ghost, monster, zombie","In this spectacular tale, a main protagonist navigates their deepest fears that threatens to change everything they know.",605,1976
Hearts in Time II,Romance,James Cameron,"Ethan Hawke, Julia Roberts, Leonardo DiCaprio","second chance, love story, star-crossed lovers, secret crush","In this haunting tale, a main protagonist investigates a post-apocalyptic wasteland that threatens to change everything they know.",606,1993
Love in Empire,Romance|Horror|Mystery,Richard Linklater,"Julie Delpy, Ryan Gosling, Hugh Grant","love story, relationship, destiny, forbidden love","In this spectacular tale, a main protagonist navigates a forbidden romance that threatens to change everything they know.",607,2006
The Wilderness Escape II,Action,John Woo,"Leonardo DiCaprio, Robert Downey Jr., Hugh Jackman","heist, superhero, rescue, explosion","In this futuristic tale, a main protagonist battles a digital virtual world that threatens to change everything they know.",608,1996
Shadow of the Paris II,Thriller,David Fincher,"Morgan Freeman, Ben Affleck, Leonardo DiCaprio","psychological, corruption, kidnapping, conspiracy","In this gripping tale, a main protagonist escapes from a forbidden romance that threatens to change everything they know.",609,2007
The Shadows Heist II,Action|Sci-Fi|Thriller,John Woo,"Leonardo DiCaprio, Scarlett Johansson, Chris Hemsworth","superhero, car chase, rescue, explosion","In this haunting tale, a main protagonist battles a secret agent that threatens to change everything they know.",610,1988
How to Dimension II,Comedy|Horror|Action,Judd Apatow,"Jim Carrey, Steve Carell, Seth Rogen","satire, slapstick, high school, misunderstanding","In this breathtaking tale, a main protagonist navigates their deepest fears that threatens to change everything they know.",611,1984
High School Night II,Horror|Sci-Fi|Fantasy,Wes Craven,"Vera Farmiga, Lupita Nyong'o, Toni Collette","slasher, haunted house, monster, ghost","In this haunting tale, a main protagonist falls in love with their deepest fears that threatens to change everything they know.",612,2013
Secrets of the Artifact,Mystery|Drama|Romance,David Fincher,"Robert Downey Jr., Daniel Craig, Hugh Jackman","puzzle, twist ending, detective, secret identity","In this haunting tale, a main protagonist confronts a deadly conspiracy that threatens to change everything they know.",613,1982
Love in Pharaoh II,Romance|Comedy|Thriller,Rob Reiner,"Hugh Grant, Rachel McAdams, Julie Delpy","second chance, star-crossed lovers, love story, relationship","In this gripping tale, a main protagonist investigates a forbidden romance that threatens to change everything they know.",614,1991
The Empire Project II,Sci-Fi|Mystery,Denis Villeneuve,"Zoe Saldana, Sigourney Weaver, Keanu Reeves","space travel, artificial intelligence, dystopia, future","In this breathtaking tale, a main protagonist uncovers a post-apocalyptic wasteland that threatens to change everything they know.",615,2011
Love in Dreamer II,Romance,Rob Reiner,"Ryan Gosling, Leonardo DiCaprio, Hugh Grant","destiny, forbidden love, second chance, love story","In this breathtaking tale, a main protagonist battles a deadly conspiracy that threatens to change everything they know.",616,2005
The Last Time II,Adventure|Fantasy|Horror,George Lucas,"Orlando Bloom, Emma Watson, Ian McKellen","treasure hunt, survival, wilderness, exploration","In this dangerous tale, a main protagonist escapes from a forbidden romance that threatens to change everything they know.",617,1993
Tales of Galaxies,Fantasy|Drama,David Yates,"Ian McKellen, Viggo Mortensen, Emma Watson","dark lord, elves, magic, alternate realm","In this dangerous tale, a main protagonist navigates their deepest fears that threatens to change everything they know.",618,1991
Tales of Paris II,Fantasy|Horror|Romance,Chris Columbus,"Emma Watson, Ian McKellen, Daniel Radcliffe","dragons, wizards, dark lord, mythology","In this breathtaking tale, a main protagonist falls in love with a hidden empire that threatens to change everything they know.",619,1982
Secrets of the Wilderness II,Mystery,Denis Villeneuve,"Christian Bale, Daniel Craig, Robert Downey Jr.","conspiracy, puzzle, disappearance, twist ending","In this mysterious tale, a main protagonist discovers a digital virtual world that threatens to change everything they know.",620,2014
Return of the Destiny II,Fantasy|Comedy|Action,Chris Columbus,"Emma Watson, Johnny Depp, Ian McKellen","prophecy, wizards, dragons, alternate realm","In this spectacular tale, a main protagonist travels to a digital virtual world that threatens to change everything they know.",621,2002
Whispers of the Cyborg,Thriller,Alfred Hitchcock,"Christian Bale, Ben Affleck, Jodie Foster","ticking clock, hostage, conspiracy, serial killer","In this spectacular tale, a main protagonist falls in love with a secret agent that threatens to change everything they know.",622,2022
Return of the Dimension II,Fantasy,Chris Columbus,"Ian McKellen, Johnny Depp, Orlando Bloom","elves, wizards, dark lord, magic","In this spectacular tale, a main protagonist navigates a deadly conspiracy that threatens to change everything they know.",623,1997
Hearts in Pharaoh II,Romance|Adventure,Richard Linklater,"Kate Winslet, Rachel McAdams, Hugh Grant","forbidden love, secret crush, star-crossed lovers, relationship","In this mysterious tale, a main protagonist battles a hidden empire that threatens to change everything they know.",624,1978
The Symphony Heist II,Action|Adventure|Drama,George Miller,"Keanu Reeves, Robert Downey Jr., Hugh Jackman","car chase, fight, explosion, rescue","In this haunting tale, a main protagonist escapes from a post-apocalyptic wasteland that threatens to change everything they know.",625,1983
The Haunting Equation II,Sci-Fi|Action,Lana Wachowski,"Carrie Fisher, Mark Hamill, Ryan Gosling","simulation, artificial intelligence, future, space travel","In this spectacular tale, a main protagonist confronts a deadly conspiracy that threatens to change everything they know.",626,2015
The Haunting Project,Sci-Fi,Christopher Nolan,"Zoe Saldana, Matt Damon, Keanu Reeves","future, dystopia, cyborg, alien","In this breathtaking tale, a main protagonist discovers a post-apocalyptic wasteland that threatens to change everything they know.",627,1980
The Dimension Heist II,Action|Mystery|Sci-Fi,Michael Bay,"Charlize Theron, Christian Bale, Scarlett Johansson","fight, car chase, superhero, martial arts","In this haunting tale, a main protagonist navigates their deepest fears that threatens to change everything they know.",628,2005
Diary of a Symphony II,Drama,Frank Darabont,"Kate Winslet, Tim Robbins, Robert De Niro","ambition, hope, mental illness, betrayal","In this unforgettable tale, a main protagonist discovers a digital virtual world that threatens to change everything they know.",629,1987
Diary of a Deep Sea II,Drama|Action|Thriller,Martin Scorsese,"Al Pacino, Meryl Streep, Joaquin Phoenix","betrayal, historical events, ambition, tragedy","In this unforgettable tale, a main protagonist travels to a forbidden romance that threatens to change everything they know.",630,2003
Curse of the Dreamer II,Horror|Action,Jordan Peele,"Toni Collette, Florence Pugh, Lupita Nyong'o","curse, zombie, ghost, monster","In this unforgettable tale, a main protagonist confronts a forbidden romance that threatens to change everything they know.",631,1976
Chronicles of Destiny II,Adventure|Mystery,George Lucas,"Harrison Ford, Sam Neill, Tom Hanks","journey, ancient, survival, island","In this haunting tale, a main protagonist battles a secret agent that threatens to change everything they know.",632,1977
Chronicles of Love II,Adventure|Mystery,George Lucas,"Daniel Radcliffe, Harrison Ford, Sam Neill","journey, ancient, quest, treasure hunt","In this gripping tale, a main protagonist falls in love with a mysterious artifact that threatens to change everything they know.",633,2006
The Last High School II,Adventure|Fantasy|Thriller,Peter Jackson,"Emma Watson, Tom Hanks, Daniel Radcliffe","quest, ancient, wilderness, survival","In this gripping tale, a main protagonist investigates a secret agent that threatens to change everything they know.",634,1997
The Haunting Equation II,Sci-Fi|Comedy,James Cameron,"Ryan Gosling, Matt Damon, Sigourney Weaver","alien, dystopia, simulation, artificial intelligence","In this mysterious tale, a main protagonist uncovers a post-apocalyptic wasteland that threatens to change everything they know.",635,2005
Return of the Revenge II,Fantasy|Mystery,Guillermo del Toro,"Elijah Wood, Viggo Mortensen, Emma Watson","dragons, alternate realm, magic, mythology","In this dangerous tale, a main protagonist uncovers a deadly conspiracy that threatens to change everything they know.",636,1977
The Symphony Project,Sci-Fi|Fantasy,Christopher Nolan,"Carrie Fisher, Matt Damon, Sandra Bullock","future, alien, dystopia, space travel","In this haunting tale, a main protagonist falls in love with a forbidden romance that threatens to change everything they know.",637,2006
Beyond the High School,Sci-Fi|Comedy|Romance,Christopher Nolan,"Mark Hamill, Matt Damon, Sigourney Weaver","alien, dystopia, cyborg, time travel","In this dangerous tale, a main protagonist discovers a mysterious artifact that threatens to change everything they know.",638,2017
Curse of the Revenge II,Horror|Action|Drama,Jordan Peele,"Toni Collette, Jamie Lee Curtis, Patrick Wilson","survival horror, zombie, monster, possession","In this dangerous tale, a main protagonist discovers a post-apocalyptic wasteland that threatens to change everything they know.",639,2017
Diary of a Haunting II,Drama,Quentin Tarantino,"Robert De Niro, Brad Pitt, Al Pacino","ambition, historical events, family struggle, betrayal","In this haunting tale, a main protagonist escapes from a forbidden romance that threatens to change everything they know.",640,2002
Diary of a Algorithm II,Drama|Adventure|Sci-Fi,Martin Scorsese,"Morgan Freeman, Brad Pitt, Matthew McConaughey","mental illness, ambition, hope, friendship","In this unforgettable tale, a main protagonist navigates a post-apocalyptic wasteland that threatens to change everything they know.",641,2009
Secrets of the Shadows II,Mystery|Fantasy,David Fincher,"Amy Adams, Hugh Jackman, Christian Bale","secret identity, conspiracy, puzzle, detective","In this dangerous tale, a main protagonist escapes from a mysterious artifact that threatens to change everything they know.",642,2013
Beyond the Algorithm II,Sci-Fi|Drama,James Cameron,"Matthew McConaughey, Sigourney Weaver, Zoe Saldana","simulation, future, alien, space travel","In this gripping tale, a main protagonist investigates a deadly conspiracy that threatens to change everything they know.",643,1978
The Cyborg Escape II,Action,James Cameron,"Chris Hemsworth, Charlize Theron, Robert Downey Jr.","revenge, rescue, martial arts, fight","In this breathtaking tale, a main protagonist discovers a hidden empire that threatens to change everything they know.",644,2015
Secrets of the Revenge II,Mystery|Action|Thriller,Christopher Nolan,"Leonardo DiCaprio, Daniel Craig, Jake Gyllenhaal","puzzle, conspiracy, twist ending, secret identity","In this dangerous tale, a main protagonist battles a mysterious artifact that threatens to change everything they know.",645,2002
The High School Heist II,Action|Thriller|Fantasy,Christopher Nolan,"Hugh Jackman, Chris Hemsworth, Tom Cruise","superhero, heist, explosion, rescue","In this spectacular tale, a main protagonist escapes from their deepest fears that threatens to change everything they know.",646,1979
The Last Artifact,Adventure|Sci-Fi|Romance,Ridley Scott,"Daniel Radcliffe, Johnny Depp, Orlando Bloom","quest, wilderness, treasure hunt, island","In this dangerous tale, a main protagonist investigates a hidden empire that threatens to change everything they know.",647,2015
Chronicles of Empire II,Adventure,George Lucas,"Johnny Depp, Elijah Wood, Daniel Radcliffe","survival, quest, journey, treasure hunt","In this dangerous tale, a main protagonist confronts their deepest fears that threatens to change everything they know.",648,2016
The Symphony Equation II,Sci-Fi,Lana Wachowski,"Sigourney Weaver, Mark Hamill, Carrie Fisher","cyborg, simulation, dystopia, time travel","In this haunting tale, a main protagonist navigates their deepest fears that threatens to change everything they know.",649,1986
The Pharaoh Project,Sci-Fi,James Cameron,"Sigourney Weaver, Sandra Bullock, Matt Damon","future, time travel, simulation, space travel","In this gripping tale, a main protagonist battles a post-apocalyptic wasteland that threatens to change everything they know.",650,2002
Secrets of the Dreamer II,Mystery|Romance|Adventure,Denis Villeneuve,"Amy Adams, Christian Bale, Leonardo DiCaprio","detective, twist ending, disappearance, secret identity","In this unforgettable tale, a main protagonist travels to a hidden empire that threatens to change everything they know.",651,1993
Tales of Paris II,Fantasy|Mystery,Peter Jackson,"Daniel Radcliffe, Orlando Bloom, Viggo Mortensen","prophecy, mythology, alternate realm, magic","In this haunting tale, a main protagonist confronts a forbidden romance that threatens to change everything they know.",652,1996
Chronicles of Dreamer,Adventure,George Lucas,"Tom Hanks, Emma Watson, Elijah Wood","island, treasure hunt, ancient, wilderness","In this unforgettable tale, a main protagonist falls in love with a deadly conspiracy that threatens to change everything they know.",653,1991
Secrets of the Haunting,Mystery|Thriller,Rian Johnson,"Hugh Jackman, Christian Bale, Robert Downey Jr.","murder mystery, detective, puzzle, secret identity","In this breathtaking tale, a main protagonist falls in love with a hidden empire that threatens to change everything they know.",654,2004
Tales of Algorithm,Fantasy|Comedy|Drama,Guillermo del Toro,"Elijah Wood, Emma Watson, Orlando Bloom","dragons, wizards, alternate realm, magic","In this breathtaking tale, a main protagonist investigates their deepest fears that threatens to change everything they know.",655,2011
Chasing Time II,Comedy|Romance|Action,Todd Phillips,"Steve Carell, Paul Rudd, Seth Rogen","parody, buddy road trip, coming of age, high school","In this dangerous tale, a main protagonist falls in love with a hidden empire that threatens to change everything they know.",656,2012
Shadow of the Time II,Thriller|Action,Christopher Nolan,"Christian Bale, Edward Norton, Ben Affleck","hostage, corruption, psychological, ticking clock","In this futuristic tale, a main protagonist confronts a mysterious artifact that threatens to change everything they know.",657,1979
The High School Syndicate II,Crime|Horror|Action,Independent Director,"Actor Alpha, Actor Beta","story, movie","In this mysterious tale, a main protagonist escapes from their deepest fears that threatens to change everything they know.",658,2018
Hearts in Pharaoh II,Romance,Rob Reiner,"Julia Roberts, Rachel McAdams, Kate Winslet","love story, star-crossed lovers, second chance, secret crush","In this gripping tale, a main protagonist travels to a post-apocalyptic wasteland that threatens to change everything they know.",659,2003
Diary of a High School II,Drama,Frank Darabont,"Matthew McConaughey, Morgan Freeman, Robert De Niro","historical events, friendship, family struggle, tragedy","In this futuristic tale, a main protagonist confronts a deadly conspiracy that threatens to change everything they know.",660,1977
Chasing AI II,Comedy|Thriller,Edgar Wright,"Paul Rudd, Ryan Reynolds, Jim Carrey","buddy road trip, misunderstanding, high school, slapstick","In this breathtaking tale, a main protagonist escapes from a secret agent that threatens to change everything they know.",661,2012
The Paris Escape,Action|Fantasy,Michael Bay,"Scarlett Johansson, Tom Cruise, Keanu Reeves","superhero, revenge, martial arts, heist","In this mysterious tale, a main protagonist falls in love with a secret agent that threatens to change everything they know.",662,1988
Return of the Haunting II,Fantasy|Mystery|Drama,Guillermo del Toro,"Daniel Radcliffe, Viggo Mortensen, Johnny Depp","prophecy, magic, dark lord, elves","In this spectacular tale, a main protagonist discovers a mysterious artifact that threatens to change everything they know.",663,2003
Tales of Dreamer II,Fantasy,Peter Jackson,"Elijah Wood, Viggo Mortensen, Daniel Radcliffe","mythology, wizards, elves, alternate realm","In this gripping tale, a main protagonist escapes from a secret agent that threatens to change everything they know.",664,1999
How to Shadows II,Comedy,Judd Apatow,"Seth Rogen, Ben Stiller, Jonah Hill","slapstick, buddy road trip, misunderstanding, parody","In this dangerous tale, a main protagonist falls in love with a secret agent that threatens to change everything they know.",665,1978
Whispers of the High School II,Thriller|Adventure,Martin Scorsese,"Ben Affleck, Brad Pitt, Jake Gyllenhaal","serial killer, ticking clock, hostage, corruption","In this futuristic tale, a main protagonist escapes from a digital virtual world that threatens to change everything they know.",666,2023
Beyond the Time II,Sci-Fi,Ridley Scott,"Matthew McConaughey, Keanu Reeves, Carrie Fisher","artificial intelligence, space travel, alien, dystopia","In this mysterious tale, a main protagonist uncovers a mysterious artifact that threatens to change everything they know.",667,1990
Beyond the Empire II,Sci-Fi|Horror|Action,Ridley Scott,"Ryan Gosling, Keanu Reeves, Matthew McConaughey","dystopia, cyborg, simulation, alien","In this unforgettable tale, a main protagonist travels to a secret agent that threatens to change everything they know.",668,2008
Pharaoh Night II,Horror|Adventure|Sci-Fi,Ari Aster,"Florence Pugh, Patrick Wilson, Ethan Hawke","monster, curse, survival horror, zombie","In this futuristic tale, a main protagonist investigates a deadly conspiracy that threatens to change everything they know.",669,1985
The Love Syndicate II,Crime|Sci-Fi|Action,Independent Director,"Actor Alpha, Actor Beta","story, movie","In this unforgettable tale, a main protagonist navigates a deadly conspiracy that threatens to change everything they know.",670,1984
Diary of a Destiny II,Drama|Adventure,Francis Ford Coppola,"Tim Robbins, Matthew McConaughey, Meryl Streep","mental illness, ambition, tragedy, family struggle","In this dangerous tale, a main protagonist uncovers a digital virtual world that threatens to change everything they know.",671,2020
Deep Sea Night,Horror,Jordan Peele,"Florence Pugh, Lupita Nyong'o, Patrick Wilson","monster, possession, survival horror, ghost","In this spectacular tale, a main protagonist confronts a forbidden romance that threatens to change everything they know.",672,2009
