title,genres,director,cast,keywords,description,movieId,release_year,cleaned_director,cleaned_cast,cleaned_keywords,cleaned_genres,metadata_soup
Return of the Artifact,Fantasy Adventure,Chris Columbus,"Orlando Bloom, Daniel Radcliffe, Elijah Wood","dark lord, elves, dragons, alternate realm","In this breathtaking tale, a main protagonist travels to a forbidden romance that threatens to change everything they know.",488,1985,chriscolumbus,orlandobloom danielradcliffe elijahwood,darklord elves dragons alternaterealm,fantasy adventure,"fantasy adventure chriscolumbus orlandobloom danielradcliffe elijahwood darklord elves dragons alternaterealm in this breathtaking tale, a main protagonist travels to a forbidden romance that threatens to change everything they know."
Symphony Night II,Horror,Wes Craven,"Ethan Hawke, Vera Farmiga, Lupita Nyong'o","curse, possession, zombie, survival horror","In this breathtaking tale, a main protagonist escapes from their deepest fears that threatens to change everything they know.",489,1979,wescraven,ethanhawke verafarmiga lupitanyong'o,curse possession zombie survivalhorror,horror,"horror wescraven ethanhawke verafarmiga lupitanyong'o curse possession zombie survivalhorror in this breathtaking tale, a main protagonist escapes from their deepest fears that threatens to change everything they know."
Shadow of the Destiny II,Thriller,Denis Villeneuve,"Jake Gyllenhaal, Ben Affleck, Leonardo DiCaprio","conspiracy, kidnapping, psychological, serial killer","In this futuristic tale, a main protagonist navigates a forbidden romance that threatens to change everything they know.",490,1998,denisvilleneuve,jakegyllenhaal benaffleck leonardodicaprio,conspiracy kidnapping psychological serialkiller,thriller,"thriller denisvilleneuve jakegyllenhaal benaffleck leonardodicaprio conspiracy kidnapping psychological serialkiller in this futuristic tale, a main protagonist navigates a forbidden romance that threatens to change everything they know."
Whispers of the AI II,Thriller Adventure Horror,Martin Scorsese,"Brad Pitt, Morgan Freeman, Jake Gyllenhaal","corruption, hostage, ticking clock, serial killer","In this breathtaking tale, a main protagonist escapes from a hidden empire that threatens to change everything they know.",491,1979,martinscorsese,bradpitt morganfreeman jakegyllenhaal,corruption hostage tickingclock serialkiller,thriller adventure horror,"thriller adventure horror martinscorsese bradpitt morganfreeman jakegyllenhaal corruption hostage tickingclock serialkiller in this breathtaking tale, a main protagonist escapes from a hidden empire that threatens to change everything they know."
Shadow of the Algorithm II,Thriller Horror Sci-Fi,Denis Villeneuve,"Jake Gyllenhaal, Edward Norton, Leonardo DiCaprio","hostage, corruption, psychological, kidnapping","In this futuristic tale, a main protagonist navigates a deadly conspiracy that threatens to change everything they know.",492,2012,denisvilleneuve,jakegyllenhaal edwardnorton leonardodicaprio,hostage corruption psychological kidnapping,thriller horror sci-fi,"thriller horror sci-fi denisvilleneuve jakegyllenhaal edwardnorton leonardodicaprio hostage corruption psychological kidnapping in this futuristic tale, a main protagonist navigates a deadly conspiracy that threatens to change everything they know."
The Galaxies Equation,Sci-Fi Drama Horror,Lana Wachowski,"Sandra Bullock, Sigourney Weaver, Mark Hamill","alien, simulation, cyborg, dystopia","In this spectacular tale, a main protagonist confronts a digital virtual world that threatens to change everything they know.",493,1984,lanawachowski,sandrabullock sigourneyweaver markhamill,alien simulation cyborg dystopia,sci-fi drama horror,"sci-fi drama horror lanawachowski sandrabullock sigourneyweaver markhamill alien simulation cyborg dystopia in this spectacular tale, a main protagonist confronts a digital virtual world that threatens to change everything they know."
Curse of the Empire II,Horror,Wes Craven,"Vera Farmiga, Lupita Nyong'o, Patrick Wilson","zombie, possession, ghost, curse","In this mysterious tale, a main protagonist investigates a secret agent that threatens to change everything they know.",494,1990,wescraven,verafarmiga lupitanyong'o patrickwilson,zombie possession ghost curse,horror,"horror wescraven verafarmiga lupitanyong'o patrickwilson zombie possession ghost curse in this mysterious tale, a main protagonist investigates a secret agent that threatens to change everything they know."
The Wilderness Heist,Action,Michael Bay,"Charlize Theron, Christian Bale, Keanu Reeves","heist, fight, car chase, superhero","In this spectacular tale, a main protagonist uncovers a mysterious artifact that threatens to change everything they know.",495,1983,michaelbay,charlizetheron christianbale keanureeves,heist fight carchase superhero,action,"action michaelbay charlizetheron christianbale keanureeves heist fight carchase superhero in this spectacular tale, a main protagonist uncovers a mysterious artifact that threatens to change everything they know."
Beyond the Dreamer II,Sci-Fi,Denis Villeneuve,"Mark Hamill, Ryan Gosling, Matthew McConaughey","future, dystopia, simulation, space travel","In this haunting tale, a main protagonist navigates a mysterious artifact that threatens to change everything they know.",496,1983,denisvilleneuve,markhamill ryangosling matthewmcconaughey,future dystopia simulation spacetravel,sci-fi,"sci-fi denisvilleneuve markhamill ryangosling matthewmcconaughey future dystopia simulation spacetravel in this haunting tale, a main protagonist navigates a mysterious artifact that threatens to change everything they know."
The Love Equation II,Sci-Fi,Christopher Nolan,"Sigourney Weaver, Mark Hamill, Carrie Fisher","space travel, alien, simulation, future","In this breathtaking tale, a main protagonist battles their deepest fears that threatens to change everything they know.",497,2013,christophernolan,sigourneyweaver markhamill carriefisher,spacetravel alien simulation future,sci-fi,"sci-fi christophernolan sigourneyweaver markhamill carriefisher spacetravel alien simulation future in this breathtaking tale, a main protagonist battles their deepest fears that threatens to change everything they know."
Whispers of the Shadows II,Thriller,Martin Scorsese,"Brad Pitt, Jake Gyllenhaal, Christian Bale","hostage, serial killer, psychological, kidnapping","In this mysterious tale, a main protagonist travels to a forbidden romance that threatens to change everything they know.",498,2022,martinscorsese,bradpitt jakegyllenhaal christianbale,hostage serialkiller psychological kidnapping,thriller,"thriller martinscorsese bradpitt jakegyllenhaal christianbale hostage serialkiller psychological kidnapping in this mysterious tale, a main protagonist travels to a forbidden romance that threatens to change everything they know."
Love in Symphony II,Romance,James Cameron,"Julie Delpy, Leonardo DiCaprio, Rachel McAdams","relationship, secret crush, love story, destiny","In this mysterious tale, a main protagonist battles a hidden empire that threatens to change everything they know.",499,2013,jamescameron,juliedelpy leonardodicaprio rachelmcadams,relationship secretcrush lovestory destiny,romance,"romance jamescameron juliedelpy leonardodicaprio rachelmcadams relationship secretcrush lovestory destiny in this mysterious tale, a main protagonist battles a hidden empire that threatens to change everything they know."
The Dimension Project II,Sci-Fi,Christopher Nolan,"Matt Damon, Mark Hamill, Ryan Gosling","time travel, artificial intelligence, future, simulation","In this spectacular tale, a main protagonist uncovers their deepest fears that threatens to change everything they know.",500,2015,christophernolan,mattdamon markhamill ryangosling,timetravel artificialintelligence future simulation,sci-fi,"sci-fi christophernolan mattdamon markhamill ryangosling timetravel artificialintelligence future simulation in this spectacular tale, a main protagonist uncovers their deepest fears that threatens to change everything they know."
Pharaoh Night II,Horror Drama,James Wan,"Ethan Hawke, Lupita Nyong'o, Patrick Wilson","survival horror, ghost, monster, slasher","In this dangerous tale, a main protagonist discovers a secret agent that threatens to change everything they know.",501,1984,jameswan,ethanhawke lupitanyong'o patrickwilson,survivalhorror ghost monster slasher,horror drama,"horror drama jameswan ethanhawke lupitanyong'o patrickwilson survivalhorror ghost monster slasher in this dangerous tale, a main protagonist discovers a secret agent that threatens to change everything they know."
Curse of the Time II,Horror Action Comedy,Ari Aster,"Florence Pugh, Patrick Wilson, Jamie Lee Curtis","monster, ghost, curse, haunted house","In this dangerous tale, a main protagonist uncovers a secret agent that threatens to change everything they know.",502,1993,ariaster,florencepugh patrickwilson jamieleecurtis,monster ghost curse hauntedhouse,horror action comedy,"horror action comedy ariaster florencepugh patrickwilson jamieleecurtis monster ghost curse hauntedhouse in this dangerous tale, a main protagonist uncovers a secret agent that threatens to change everything they know."
The Last High School II,Adventure Thriller,Steven Spielberg,"Harrison Ford, Orlando Bloom, Daniel Radcliffe","island, survival, treasure hunt, ancient","In this unforgettable tale, a main protagonist battles a post-apocalyptic wasteland that threatens to change everything they know.",503,1995,stevenspielberg,harrisonford orlandobloom danielradcliffe,island survival treasurehunt ancient,adventure thriller,"adventure thriller stevenspielberg harrisonford orlandobloom danielradcliffe island survival treasurehunt ancient in this unforgettable tale, a main protagonist battles a post-apocalyptic wasteland that threatens to change everything they know."
Secrets of the Dimension II,Mystery Fantasy Romance,Rian Johnson,"Robert Downey Jr., Jake Gyllenhaal, Hugh Jackman","disappearance, secret identity, conspiracy, murder mystery","In this futuristic tale, a main protagonist travels to a post-apocalyptic wasteland that threatens to change everything they know.",504,2001,rianjohnson,robertdowneyjr. jakegyllenhaal hughjackman,disappearance secretidentity conspiracy murdermystery,mystery fantasy romance,"mystery fantasy romance rianjohnson robertdowneyjr. jakegyllenhaal hughjackman disappearance secretidentity conspiracy murdermystery in this futuristic tale, a main protagonist travels to a post-apocalyptic wasteland that threatens to change everything they know."
The Wilderness Escape,Action Romance Sci-Fi,James Cameron,"Christian Bale, Leonardo DiCaprio, Scarlett Johansson","rescue, martial arts, revenge, heist","In this spectacular tale, a main protagonist investigates their deepest fears that threatens to change everything they know.",505,2021,jamescameron,christianbale leonardodicaprio scarlettjohansson,rescue martialarts revenge heist,action romance sci-fi,"action romance sci-fi jamescameron christianbale leonardodicaprio scarlettjohansson rescue martialarts revenge heist in this spectacular tale, a main protagonist investigates their deepest fears that threatens to change everything they know."
The Symphony Syndicate II,Crime Thriller Horror,Independent Director,"Actor Beta, Actor Alpha","movie, story","In this dangerous tale, a main protagonist uncovers a hidden empire that threatens to change everything they know.",506,2020,independentdirector,actorbeta actoralpha,movie story,crime thriller horror,"crime thriller horror independentdirector actorbeta actoralpha movie story in this dangerous tale, a main protagonist uncovers a hidden empire that threatens to change everything they know."
Love in Deep Sea II,Romance,Richard Linklater,"Rachel McAdams, Kate Winslet, Hugh Grant","secret crush, destiny, forbidden love, relationship","In this gripping tale, a main protagonist uncovers a deadly conspiracy that threatens to change everything they know.",507,2021,richardlinklater,rachelmcadams katewinslet hughgrant,secretcrush destiny forbiddenlove relationship,romance,"romance richardlinklater rachelmcadams katewinslet hughgrant secretcrush destiny forbiddenlove relationship in this gripping tale, a main protagonist uncovers a deadly conspiracy that threatens to change everything they know."
Shadow of the Galaxies II,Thriller Drama,Christopher Nolan,"Christian Bale, Jake Gyllenhaal, Jodie Foster","kidnapping, hostage, psychological, conspiracy","In this spectacular tale, a main protagonist travels to a hidden empire that threatens to change everything they know.",508,2004,christophernolan,christianbale jakegyllenhaal jodiefoster,kidnapping hostage psychological conspiracy,thriller drama,"thriller drama christophernolan christianbale jakegyllenhaal jodiefoster kidnapping hostage psychological conspiracy in this spectacular tale, a main protagonist travels to a hidden empire that threatens to change everything they know."
The Empire Escape II,Action,John Woo,"Leonardo DiCaprio, Christian Bale, Charlize Theron","explosion, fight, rescue, martial arts","In this spectacular tale, a main protagonist navigates a digital virtual world that threatens to change everything they know.",509,1982,johnwoo,leonardodicaprio christianbale charlizetheron,explosion fight rescue martialarts,action,"action johnwoo leonardodicaprio christianbale charlizetheron explosion fight rescue martialarts in this spectacular tale, a main protagonist navigates a digital virtual world that threatens to change everything they know."
Chasing Deep Sea II,Comedy Drama Thriller,Todd Phillips,"Ryan Reynolds, Steve Carell, Jonah Hill","buddy road trip, parody, slapstick, high school","In this spectacular tale, a main protagonist discovers a hidden empire that threatens to change everything they know.",510,2007,toddphillips,ryanreynolds stevecarell jonahhill,buddyroadtrip parody slapstick highschool,comedy drama thriller,"comedy drama thriller toddphillips ryanreynolds stevecarell jonahhill buddyroadtrip parody slapstick highschool in this spectacular tale, a main protagonist discovers a hidden empire that threatens to change everything they know."
The Last Dimension,Adventure Horror,Steven Spielberg,"Johnny Depp, Harrison Ford, Emma Watson","ancient, treasure hunt, wilderness, island","In this mysterious tale, a main protagonist battles a forbidden romance that threatens to change everything they know.",511,1989,stevenspielberg,johnnydepp harrisonford emmawatson,ancient treasurehunt wilderness island,adventure horror,"adventure horror stevenspielberg johnnydepp harrisonford emmawatson ancient treasurehunt wilderness island in this mysterious tale, a main protagonist battles a forbidden romance that threatens to change everything they know."
The Last Algorithm II,Adventure,Ridley Scott,"Daniel Radcliffe, Sam Neill, Harrison Ford","wilderness, journey, exploration, ancient","In this unforgettable tale, a main protagonist battles a secret agent that threatens to change everything they know.",512,2006,ridleyscott,danielradcliffe samneill harrisonford,wilderness journey exploration ancient,adventure,"adventure ridleyscott danielradcliffe samneill harrisonford wilderness journey exploration ancient in this unforgettable tale, a main protagonist battles a secret agent that threatens to change everything they know."
The High School Syndicate II,Crime Romance,Independent Director,"Actor Alpha, Actor Beta","movie, story","In this futuristic tale, a main protagonist battles a deadly conspiracy that threatens to change everything they know.",513,2018,independentdirector,actoralpha actorbeta,movie story,crime romance,"crime romance independentdirector actoralpha actorbeta movie story in this futuristic tale, a main protagonist battles a deadly conspiracy that threatens to change everything they know."
Shadow of the High School II,Thriller Sci-Fi,Martin Scorsese,"Edward Norton, Morgan Freeman, Brad Pitt","ticking clock, hostage, serial killer, corruption","In this breathtaking tale, a main protagonist navigates a secret agent that threatens to change everything they know.",514,1981,martinscorsese,edwardnorton morganfreeman bradpitt,tickingclock hostage serialkiller corruption,thriller sci-fi,"thriller sci-fi martinscorsese edwardnorton morganfreeman bradpitt tickingclock hostage serialkiller corruption in this breathtaking tale, a main protagonist navigates a secret agent that threatens to change everything they know."
The Last Haunting II,Adventure,Steven Spielberg,"Harrison Ford, Sam Neill, Tom Hanks","exploration, island, journey, ancient","In this dangerous tale, a main protagonist battles a post-apocalyptic wasteland that threatens to change everything they know.",515,1981,stevenspielberg,harrisonford samneill tomhanks,exploration island journey ancient,adventure,"adventure stevenspielberg harrisonford samneill tomhanks exploration island journey ancient in this dangerous tale, a main protagonist battles a post-apocalyptic wasteland that threatens to change everything they know."
The Paris Project II,Sci-Fi Action Fantasy,Denis Villeneuve,"Zoe Saldana, Sandra Bullock, Sigourney Weaver","future, simulation, dystopia, artificial intelligence","In this spectacular tale, a main protagonist discovers a digital virtual world that threatens to change everything they know.",516,2012,denisvilleneuve,zoesaldana sandrabullock sigourneyweaver,future simulation dystopia artificialintelligence,sci-fi action fantasy,"sci-fi action fantasy denisvilleneuve zoesaldana sandrabullock sigourneyweaver future simulation dystopia artificialintelligence in this spectacular tale, a main protagonist discovers a digital virtual world that threatens to change everything they know."
Secrets of the Wilderness II,Mystery Romance Comedy,David Fincher,"Leonardo DiCaprio, Amy Adams, Hugh Jackman","disappearance, secret identity, murder mystery, puzzle","In this breathtaking tale, a main protagonist travels to a digital virtual world that threatens to change everything they know.",517,2000,davidfincher,leonardodicaprio amyadams hughjackman,disappearance secretidentity murdermystery puzzle,mystery romance comedy,"mystery romance comedy davidfincher leonardodicaprio amyadams hughjackman disappearance secretidentity murdermystery puzzle in this breathtaking tale, a main protagonist travels to a digital virtual world that threatens to change everything they know."
The Shadows Equation II,Sci-Fi,Denis Villeneuve,"Carrie Fisher, Matthew McConaughey, Matt Damon","alien, future, dystopia, simulation","In this gripping tale, a main protagonist battles a digital virtual world that threatens to change everything they know.",518,2004,denisvilleneuve,carriefisher matthewmcconaughey mattdamon,alien future dystopia simulation,sci-fi,"sci-fi denisvilleneuve carriefisher matthewmcconaughey mattdamon alien future dystopia simulation in this gripping tale, a main protagonist battles a digital virtual world that threatens to change everything they know."
Haunting Night,Horror,Ari Aster,"Toni Collette, Jamie Lee Curtis, Ethan Hawke","curse, survival horror, monster, haunted house","In this spectacular tale, a main protagonist confronts a deadly conspiracy that threatens to change everything they know.",519,2008,ariaster,tonicollette jamieleecurtis ethanhawke,curse survivalhorror monster hauntedhouse,horror,"horror ariaster tonicollette jamieleecurtis ethanhawke curse survivalhorror monster hauntedhouse in this spectacular tale, a main protagonist confronts a deadly conspiracy that threatens to change everything they know."
The Love Equation II,Sci-Fi Horror Drama,Ridley Scott,"Matthew McConaughey, Carrie Fisher, Sandra Bullock","space travel, artificial intelligence, cyborg, time travel","In this spectacular tale, a main protagonist uncovers a post-apocalyptic wasteland that threatens to change everything they know.",520,2012,ridleyscott,matthewmcconaughey carriefisher sandrabullock,spacetravel artificialintelligence cyborg timetravel,sci-fi horror drama,"sci-fi horror drama ridleyscott matthewmcconaughey carriefisher sandrabullock spacetravel artificialintelligence cyborg timetravel in this spectacular tale, a main protagonist uncovers a post-apocalyptic wasteland that threatens to change everything they know."
The Love Syndicate II,Crime,Independent Director,"Actor Beta, Actor Alpha","story, movie","In this unforgettable tale, a main protagonist escapes from a forbidden romance that threatens to change everything they know.",521,1996,independentdirector,actorbeta actoralpha,story movie,crime,"crime independentdirector actorbeta actoralpha story movie in this unforgettable tale, a main protagonist escapes from a forbidden romance that threatens to change everything they know."
The Artifact Escape II,Action Horror,John Woo,"Hugh Jackman, Keanu Reeves, Tom Cruise","superhero, martial arts, car chase, explosion","In this spectacular tale, a main protagonist navigates a digital virtual world that threatens to change everything they know.",522,2021,johnwoo,hughjackman keanureeves tomcruise,superhero martialarts carchase explosion,action horror,"action horror johnwoo hughjackman keanureeves tomcruise superhero martialarts carchase explosion in this spectacular tale, a main protagonist navigates a digital virtual world that threatens to change everything they know."
Beyond the Dreamer II,Sci-Fi Horror,Denis Villeneuve,"Matthew McConaughey, Matt Damon, Ryan Gosling","space travel, cyborg, time travel, artificial intelligence","In this futuristic tale, a main protagonist escapes from a forbidden romance that threatens to change everything they know.",523,1978,denisvilleneuve,matthewmcconaughey mattdamon ryangosling,spacetravel cyborg timetravel artificialintelligence,sci-fi horror,"sci-fi horror denisvilleneuve matthewmcconaughey mattdamon ryangosling spacetravel cyborg timetravel artificialintelligence in this futuristic tale, a main protagonist escapes from a forbidden romance that threatens to change everything they know."
Tales of Deep Sea II,Fantasy Sci-Fi,David Yates,"Elijah Wood, Orlando Bloom, Ian McKellen","prophecy, mythology, magic, dark lord","In this gripping tale, a main protagonist uncovers a forbidden romance that threatens to change everything they know.",524,2004,davidyates,elijahwood orlandobloom ianmckellen,prophecy mythology magic darklord,fantasy sci-fi,"fantasy sci-fi davidyates elijahwood orlandobloom ianmckellen prophecy mythology magic darklord in this gripping tale, a main protagonist uncovers a forbidden romance that threatens to change everything they know."
Beyond the Paris,Sci-Fi Adventure,Lana Wachowski,"Mark Hamill, Matt Damon, Zoe Saldana","future, space travel, time travel, alien","In this breathtaking tale, a main protagonist travels to a hidden empire that threatens to change everything they know.",525,1976,lanawachowski,markhamill mattdamon zoesaldana,future spacetravel timetravel alien,sci-fi adventure,"sci-fi adventure lanawachowski markhamill mattdamon zoesaldana future spacetravel timetravel alien in this breathtaking tale, a main protagonist travels to a hidden empire that threatens to change everything they know."
Chasing AI,Comedy,Judd Apatow,"Ryan Reynolds, Ben Stiller, Seth Rogen","satire, slapstick, misunderstanding, coming of age","In this unforgettable tale, a main protagonist discovers a post-apocalyptic wasteland that threatens to change everything they know.",526,1999,juddapatow,ryanreynolds benstiller sethrogen,satire slapstick misunderstanding comingofage,comedy,"comedy juddapatow ryanreynolds benstiller sethrogen satire slapstick misunderstanding comingofage in this unforgettable tale, a main protagonist discovers a post-apocalyptic wasteland that threatens to change everything they know."
The Last Wilderness II,Adventure Mystery,George Lucas,"Tom Hanks, Ian McKellen, Elijah Wood","quest, survival, ancient, treasure hunt","In this gripping tale, a main protagonist confronts a deadly conspiracy that threatens to change everything they know.",527,2020,georgelucas,tomhanks ianmckellen elijahwood,quest survival ancient treasurehunt,adventure mystery,"adventure mystery georgelucas tomhanks ianmckellen elijahwood quest survival ancient treasurehunt in this gripping tale, a main protagonist confronts a deadly conspiracy that threatens to change everything they know."
The Destiny Heist II,Action,James Cameron,"Hugh Jackman, Chris Hemsworth, Keanu Reeves","superhero, martial arts, rescue, fight","In this unforgettable tale, a main protagonist investigates a mysterious artifact that threatens to change everything they know.",528,2012,jamescameron,hughjackman chrishemsworth keanureeves,superhero martialarts rescue fight,action,"action jamescameron hughjackman chrishemsworth keanureeves superhero martialarts rescue fight in this unforgettable tale, a main protagonist investigates a mysterious artifact that threatens to change everything they know."
Love in Artifact,Romance,Richard Linklater,"Ethan Hawke, Julia Roberts, Rachel McAdams","second chance, secret crush, star-crossed lovers, forbidden love","In this dangerous tale, a main protagonist navigates a mysterious artifact that threatens to change everything they know.",529,2004,richardlinklater,ethanhawke juliaroberts rachelmcadams,secondchance secretcrush star-crossedlovers forbiddenlove,romance,"romance richardlinklater ethanhawke juliaroberts rachelmcadams secondchance secretcrush star-crossedlovers forbiddenlove in this dangerous tale, a main protagonist navigates a mysterious artifact that threatens to change everything they know."
The Revenge Equation II,Sci-Fi Horror,Lana Wachowski,"Zoe Saldana, Matthew McConaughey, Sandra Bullock","time travel, dystopia, future, cyborg","In this mysterious tale, a main protagonist confronts their deepest fears that threatens to change everything they know.",530,1981,lanawachowski,zoesaldana matthewmcconaughey sandrabullock,timetravel dystopia future cyborg,sci-fi horror,"sci-fi horror lanawachowski zoesaldana matthewmcconaughey sandrabullock timetravel dystopia future cyborg in this mysterious tale, a main protagonist confronts their deepest fears that threatens to change everything they know."
Beyond the Galaxies II,Sci-Fi Romance Thriller,Denis Villeneuve,"Ryan Gosling, Sandra Bullock, Matthew McConaughey","alien, dystopia, future, cyborg","In this futuristic tale, a main protagonist uncovers a forbidden romance that threatens to change everything they know.",531,1989,denisvilleneuve,ryangosling sandrabullock matthewmcconaughey,alien dystopia future cyborg,sci-fi romance thriller,"sci-fi romance thriller denisvilleneuve ryangosling sandrabullock matthewmcconaughey alien dystopia future cyborg in this futuristic tale, a main protagonist uncovers a forbidden romance that threatens to change everything they know."
Curse of the Time II,Horror,Ari Aster,"Vera Farmiga, Jamie Lee Curtis, Ethan Hawke","slasher, survival horror, ghost, curse","In this spectacular tale, a main protagonist uncovers a mysterious artifact that threatens to change everything they know.",532,1992,ariaster,verafarmiga jamieleecurtis ethanhawke,slasher survivalhorror ghost curse,horror,"horror ariaster verafarmiga jamieleecurtis ethanhawke slasher survivalhorror ghost curse in this spectacular tale, a main protagonist uncovers a mysterious artifact that threatens to change everything they know."
Shadow of the Artifact II,Thriller,Alfred Hitchcock,"Morgan Freeman, Leonardo DiCaprio, Jodie Foster","conspiracy, hostage, serial killer, psychological","In this gripping tale, a main protagonist battles a hidden empire that threatens to change everything they know.",533,1980,alfredhitchcock,morganfreeman leonardodicaprio jodiefoster,conspiracy hostage serialkiller psychological,thriller,"thriller alfredhitchcock morganfreeman leonardodicaprio jodiefoster conspiracy hostage serialkiller psychological in this gripping tale, a main protagonist battles a hidden empire that threatens to change everything they know."
Chasing High School II,Comedy Sci-Fi Fantasy,Judd Apatow,"Steve Carell, Paul Rudd, Emma Stone","high school, coming of age, buddy road trip, parody","In this spectacular tale, a main protagonist uncovers a digital virtual world that threatens to change everything they know.",534,2019,juddapatow,stevecarell paulrudd emmastone,highschool comingofage buddyroadtrip parody,comedy sci-fi fantasy,"comedy sci-fi fantasy juddapatow stevecarell paulrudd emmastone highschool comingofage buddyroadtrip parody in this spectacular tale, a main protagonist uncovers a digital virtual world that threatens to change everything they know."
Love in High School II,Romance,Richard Linklater,"Leonardo DiCaprio, Julia Roberts, Kate Winslet","love story, destiny, forbidden love, star-crossed lovers","In this gripping tale, a main protagonist battles a secret agent that threatens to change everything they know.",535,1992,richardlinklater,leonardodicaprio juliaroberts katewinslet,lovestory destiny forbiddenlove star-crossedlovers,romance,"romance richardlinklater leonardodicaprio juliaroberts katewinslet lovestory destiny forbiddenlove star-crossedlovers in this gripping tale, a main protagonist battles a secret agent that threatens to change everything they know."
Pharaoh Night II,Horror Mystery Thriller,Ari Aster,"Vera Farmiga, Toni Collette, Patrick Wilson","zombie, haunted house, survival horror, ghost","In this futuristic tale, a main protagonist confronts their deepest fears that threatens to change everything they know.",536,1984,ariaster,verafarmiga tonicollette patrickwilson,zombie hauntedhouse survivalhorror ghost,horror mystery thriller,"horror mystery thriller ariaster verafarmiga tonicollette patrickwilson zombie hauntedhouse survivalhorror ghost in this futuristic tale, a main protagonist confronts their deepest fears that threatens to change everything they know."
Return of the Dimension,Fantasy Romance,Guillermo del Toro,"Johnny Depp, Ian McKellen, Elijah Wood","prophecy, dragons, mythology, alternate realm","In this haunting tale, a main protagonist navigates a secret agent that threatens to change everything they know.",537,1978,guillermodeltoro,johnnydepp ianmckellen elijahwood,prophecy dragons mythology alternaterealm,fantasy romance,"fantasy romance guillermodeltoro johnnydepp ianmckellen elijahwood prophecy dragons mythology alternaterealm in this haunting tale, a main protagonist navigates a secret agent that threatens to change everything they know."
Algorithm Night II,Horror,Wes Craven,"Lupita Nyong'o, Toni Collette, Ethan Hawke","monster, curse, survival horror, zombie","In this futuristic tale, a main protagonist uncovers a deadly conspiracy that threatens to change everything they know.",538,2010,wescraven,lupitanyong'o tonicollette ethanhawke,monster curse survivalhorror zombie,horror,"horror wescraven lupitanyong'o tonicollette ethanhawke monster curse survivalhorror zombie in this futuristic tale, a main protagonist uncovers a deadly conspiracy that threatens to change everything they know."
Love in Dreamer II,Romance,Marc Webb,"Ethan Hawke, Kate Winslet, Hugh Grant","relationship, forbidden love, secret crush, star-crossed lovers","In this haunting tale, a main protagonist escapes from a secret agent that threatens to change everything they know.",539,2000,marcwebb,ethanhawke katewinslet hughgrant,relationship forbiddenlove secretcrush star-crossedlovers,romance,"romance marcwebb ethanhawke katewinslet hughgrant relationship forbiddenlove secretcrush star-crossedlovers in this haunting tale, a main protagonist escapes from a secret agent that threatens to change everything they know."
The Revenge Project II,Sci-Fi Thriller Romance,Christopher Nolan,"Sandra Bullock, Mark Hamill, Sigourney Weaver","time travel, artificial intelligence, cyborg, space travel","In this mysterious tale, a main protagonist discovers a post-apocalyptic wasteland that threatens to change everything they know.",540,1976,christophernolan,sandrabullock markhamill sigourneyweaver,timetravel artificialintelligence cyborg spacetravel,sci-fi thriller romance,"sci-fi thriller romance christophernolan sandrabullock markhamill sigourneyweaver timetravel artificialintelligence cyborg spacetravel in this mysterious tale, a main protagonist discovers a post-apocalyptic wasteland that threatens to change everything they know."
Whispers of the Paris II,Thriller,Denis Villeneuve,"Christian Bale, Brad Pitt, Leonardo DiCaprio","psychological, hostage, serial killer, ticking clock","In this haunting tale, a main protagonist confronts a forbidden romance that threatens to change everything they know.",541,2017,denisvilleneuve,christianbale bradpitt leonardodicaprio,psychological hostage serialkiller tickingclock,thriller,"thriller denisvilleneuve christianbale bradpitt leonardodicaprio psychological hostage serialkiller tickingclock in this haunting tale, a main protagonist confronts a forbidden romance that threatens to change everything they know."
Hearts in Galaxies,Romance,James Cameron,"Julia Roberts, Julie Delpy, Kate Winslet","destiny, forbidden love, love story, secret crush","In this dangerous tale, a main protagonist confronts their deepest fears that threatens to change everything they know.",542,2005,jamescameron,juliaroberts juliedelpy katewinslet,destiny forbiddenlove lovestory secretcrush,romance,"romance jamescameron juliaroberts juliedelpy katewinslet destiny forbiddenlove lovestory secretcrush in this dangerous tale, a main protagonist confronts their deepest fears that threatens to change everything they know."
Secrets of the Destiny II,Mystery Comedy,Denis Villeneuve,"Jake Gyllenhaal, Christian Bale, Amy Adams","detective, secret identity, disappearance, conspiracy","In this unforgettable tale, a main protagonist escapes from their deepest fears that threatens to change everything they know.",543,1976,denisvilleneuve,jakegyllenhaal christianbale amyadams,detective secretidentity disappearance conspiracy,mystery comedy,"mystery comedy denisvilleneuve jakegyllenhaal christianbale amyadams detective secretidentity disappearance conspiracy in this unforgettable tale, a main protagonist escapes from their deepest fears that threatens to change everything they know."
Shadow of the Haunting II,Thriller Action Mystery,Denis Villeneuve,"Christian Bale, Brad Pitt, Ben Affleck","ticking clock, conspiracy, kidnapping, corruption","In this unforgettable tale, a main protagonist discovers a forbidden romance that threatens to change everything they know.",544,1984,denisvilleneuve,christianbale bradpitt benaffleck,tickingclock conspiracy kidnapping corruption,thriller action mystery,"thriller action mystery denisvilleneuve christianbale bradpitt benaffleck tickingclock conspiracy kidnapping corruption in this unforgettable tale, a main protagonist discovers a forbidden romance that threatens to change everything they know."
